Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_1,20.0,32.0,32.0,1e-10,-4.312296027088927e-06,-1.307906722351795e-06
Run_2,20.0,32.0,32.0,1e-09,-4.3122959121855984e-05,-1.3079066875019531e-05
Run_3,20.0,32.0,32.0,1e-08,-0.0004312295337668,-0.00013079065132527444
Run_4,20.0,32.0,32.0,1e-07,-0.0043122898223092,-0.0013079048404603365
Run_5,20.0,32.0,32.0,1e-06,-0.0431223248554882,-0.013078874503892673
Run_6,20.0,32.0,32.0,1e-05,-0.4311441835752438,-0.1307647648627693
Run_7,20.0,32.0,32.0,0.0001,-3.3330282821178376,-1.0108976908319782
Run_8,20.0,32.0,32.0,0.0032,-3.346042347891621,-1.014844818767068
Run_9,20.0,32.0,80.0,1e-10,53.969941245128986,183.86225157419935
Run_10,20.0,32.0,80.0,1e-09,53.96988149539869,185.501623980573
Run_11,20.0,32.0,80.0,1e-08,53.96983093793458,187.17052929931154
Run_12,20.0,32.0,80.0,1e-07,53.96807981122379,189.2934541089427
Run_13,20.0,32.0,80.0,1e-06,53.97031353191002,190.60214987525012
Run_14,20.0,32.0,80.0,1e-05,53.98459831358237,190.07208358708084
Run_15,20.0,32.0,80.0,0.0001,54.10880881058864,167.55155262124762
Run_16,20.0,32.0,80.0,0.0032,54.00226584921574,505.2627139207422
Run_17,20.0,32.0,160.0,1e-10,76.9269090789399,766.4405117299582
Run_18,20.0,32.0,160.0,1e-09,76.92762607570339,768.855737971148
Run_19,20.0,32.0,160.0,1e-08,76.92777085389599,772.2530351080767
Run_20,20.0,32.0,160.0,1e-07,76.92694814607125,777.3178419578211
Run_21,20.0,32.0,160.0,1e-06,76.9277157002988,779.8034818483677
Run_22,20.0,32.0,160.0,1e-05,76.92786277655799,784.2082375958302
Run_23,20.0,32.0,160.0,0.0001,76.9446754314349,765.2008039692287
Run_24,20.0,32.0,160.0,0.0032,76.71303262130105,1439.6013821030965
Run_25,20.0,32.0,250.0,1e-10,85.654107092839,1706.7059868962265
Run_26,20.0,32.0,250.0,1e-09,85.65465715804832,1711.0831105258576
Run_27,20.0,32.0,250.0,1e-08,85.65413062504047,1720.5127762627314
Run_28,20.0,32.0,250.0,1e-07,85.65477040676787,1723.7187682718838
Run_29,20.0,32.0,250.0,1e-06,85.6540497330979,1733.7993426632559
Run_30,20.0,32.0,250.0,1e-05,85.65623675707185,1726.8473633214003
Run_31,20.0,32.0,250.0,0.0001,85.65393942590353,1728.9303890921112
Run_32,20.0,32.0,250.0,0.0032,85.41889538535365,2342.935057881781
Run_33,20.0,32.0,300.0,1e-10,88.34989530149005,1912.4566312135441
Run_34,20.0,32.0,300.0,1e-09,88.3488351267885,1931.515521249449
Run_35,20.0,32.0,300.0,1e-08,88.34860348168031,1939.693538672104
Run_36,20.0,32.0,300.0,1e-07,88.3485850971479,1945.2505293777458
Run_37,20.0,32.0,300.0,1e-06,88.34986098369623,1935.2016853578264
Run_38,20.0,32.0,300.0,1e-05,88.34941730364774,1938.7420547378736
Run_39,20.0,32.0,300.0,0.0001,88.34397303078728,1935.6496022721776
Run_40,20.0,32.0,300.0,0.0032,88.07028127135979,2761.0092278646534
Run_41,20.0,32.0,350.0,1e-10,90.288337985794,1841.767392950617
Run_42,20.0,32.0,350.0,1e-09,90.2881982633478,1851.9558699282984
Run_43,20.0,32.0,350.0,1e-08,90.28805643981217,1862.1760686262048
Run_44,20.0,32.0,350.0,1e-07,90.2882350324126,1857.8094515426037
Run_45,20.0,32.0,350.0,1e-06,90.2879209195448,1872.6538041567578
Run_46,20.0,32.0,350.0,1e-05,90.28764147465232,1854.5894477508673
Run_47,20.0,32.0,350.0,0.0001,90.28145376631991,1778.7331576097667
Run_48,20.0,32.0,350.0,0.0032,89.98466963347568,3193.3797390821833
Run_49,20.0,32.0,400.0,1e-10,91.68435156386047,3761.956710666835
Run_50,20.0,32.0,400.0,1e-09,91.68386805065845,3780.820042428927
Run_51,20.0,32.0,400.0,1e-08,91.68433869468782,3786.4231198104267
Run_52,20.0,32.0,400.0,1e-07,91.68383220082028,3809.409051562425
Run_53,20.0,32.0,400.0,1e-06,91.68421184141428,3813.405401291494
Run_54,20.0,32.0,400.0,1e-05,91.68291481265366,3839.7036274992556
Run_55,20.0,32.0,400.0,0.0001,91.67774324369044,3828.5602423289884
Run_56,20.0,32.0,400.0,0.0032,91.43615210346336,3518.4277122863905
Run_57,20.0,32.0,450.0,1e-10,92.83995128295484,4224.111558806579
