,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
318,Run_319,20.0,200.0,660.0,0.0001,100.0,28784.289975100328
319,Run_320,20.0,200.0,660.0,0.0032,100.0,29933.533737133213
388,Run_389,20.0,300.0,550.0,1e-06,100.0,28948.19971656101
389,Run_390,20.0,300.0,550.0,1e-05,100.0,29195.22695600943
390,Run_391,20.0,300.0,550.0,0.0001,100.0,29798.568539407286
391,Run_392,20.0,300.0,550.0,0.0032,100.0,30511.677902817348
392,Run_393,20.0,300.0,660.0,1e-10,100.0,33411.14665752905
393,Run_394,20.0,300.0,660.0,1e-09,100.0,34074.16669614568
394,Run_395,20.0,300.0,660.0,1e-08,100.0,34287.28115422916
395,Run_396,20.0,300.0,660.0,1e-07,100.0,34617.80115336676
396,Run_397,20.0,300.0,660.0,1e-06,100.0,35016.82937933239
397,Run_398,20.0,300.0,660.0,1e-05,100.0,35483.018832097754
398,Run_399,20.0,300.0,660.0,0.0001,100.0,36017.83587731826
399,Run_400,20.0,300.0,660.0,0.0032,100.0,36819.38730444138
468,Run_469,20.0,400.0,550.0,1e-06,100.0,29058.734411454094
469,Run_470,20.0,400.0,550.0,1e-05,100.0,29454.35703827433
470,Run_471,20.0,400.0,550.0,0.0001,100.0,29795.291248800073
471,Run_472,20.0,400.0,550.0,0.0032,100.0,30534.954869002548
472,Run_473,20.0,400.0,660.0,1e-10,100.0,33864.96795230955
473,Run_474,20.0,400.0,660.0,1e-09,100.0,34014.147715641615
474,Run_475,20.0,400.0,660.0,1e-08,100.0,34515.97578586903
475,Run_476,20.0,400.0,660.0,1e-07,100.0,35099.66880531724
476,Run_477,20.0,400.0,660.0,1e-06,100.0,35294.994363316306
477,Run_478,20.0,400.0,660.0,1e-05,100.0,35439.810251526775
478,Run_479,20.0,400.0,660.0,0.0001,100.0,36038.18138281031
479,Run_480,20.0,400.0,660.0,0.0032,100.0,36852.9806824427
548,Run_549,20.0,500.0,550.0,1e-06,100.0,29320.30618680765
549,Run_550,20.0,500.0,550.0,1e-05,100.0,29418.590286650342
550,Run_551,20.0,500.0,550.0,0.0001,100.0,29991.178960231817
551,Run_552,20.0,500.0,550.0,0.0032,100.0,30612.356394698814
552,Run_553,20.0,500.0,660.0,1e-10,100.0,33704.69849896942
553,Run_554,20.0,500.0,660.0,1e-09,100.0,34178.03961744933
554,Run_555,20.0,500.0,660.0,1e-08,100.0,34517.434120773265
555,Run_556,20.0,500.0,660.0,1e-07,100.0,35155.45320127926
556,Run_557,20.0,500.0,660.0,1e-06,100.0,35403.197917381665
557,Run_558,20.0,500.0,660.0,1e-05,100.0,35910.28608245372
558,Run_559,20.0,500.0,660.0,0.0001,100.0,36150.81027895072
559,Run_560,20.0,500.0,660.0,0.0032,100.0,36824.04218381906
627,Run_628,20.0,600.0,550.0,1e-07,100.0,28845.45567307867
628,Run_629,20.0,600.0,550.0,1e-06,100.0,29178.357619702867
629,Run_630,20.0,600.0,550.0,1e-05,100.0,29650.671964582074
630,Run_631,20.0,600.0,550.0,0.0001,100.0,29925.122663515383
631,Run_632,20.0,600.0,550.0,0.0032,100.0,30527.283438616545
632,Run_633,20.0,600.0,660.0,1e-10,100.0,33836.621290843344
633,Run_634,20.0,600.0,660.0,1e-09,100.0,34309.44054656486
634,Run_635,20.0,600.0,660.0,1e-08,100.0,34676.326608434014
635,Run_636,20.0,600.0,660.0,1e-07,100.0,35166.76842150145
636,Run_637,20.0,600.0,660.0,1e-06,100.0,35361.88898393801
637,Run_638,20.0,600.0,660.0,1e-05,100.0,35874.79263942017
638,Run_639,20.0,600.0,660.0,0.0001,100.0,36351.21476450766
639,Run_640,20.0,600.0,660.0,0.0032,100.0,36858.67442991364
707,Run_708,20.0,800.0,550.0,1e-07,100.0,29025.573953423584
708,Run_709,20.0,800.0,550.0,1e-06,100.0,29305.620799821147
709,Run_710,20.0,800.0,550.0,1e-05,100.0,29583.44210160957
710,Run_711,20.0,800.0,550.0,0.0001,100.0,30107.855439354717
711,Run_712,20.0,800.0,550.0,0.0032,100.0,30676.23821757448
712,Run_713,20.0,800.0,660.0,1e-10,100.0,34110.50336878031
713,Run_714,20.0,800.0,660.0,1e-09,100.0,34419.05824199578
714,Run_715,20.0,800.0,660.0,1e-08,100.0,34640.405501417124
715,Run_716,20.0,800.0,660.0,1e-07,100.0,34931.87182605699
716,Run_717,20.0,800.0,660.0,1e-06,100.0,35560.39402898562
717,Run_718,20.0,800.0,660.0,1e-05,100.0,36008.103877061294
718,Run_719,20.0,800.0,660.0,0.0001,100.0,36390.44187769071
719,Run_720,20.0,800.0,660.0,0.0032,100.0,36910.79937722753
787,Run_788,20.0,900.0,550.0,1e-07,100.0,29021.31480301727
788,Run_789,20.0,900.0,550.0,1e-06,100.0,29297.026146785785
789,Run_790,20.0,900.0,550.0,1e-05,100.0,29556.90876885177
790,Run_791,20.0,900.0,550.0,0.0001,100.0,30086.46354951587
791,Run_792,20.0,900.0,550.0,0.0032,100.0,30657.39861702213
792,Run_793,20.0,900.0,660.0,1e-10,100.0,34052.79842552633
793,Run_794,20.0,900.0,660.0,1e-09,100.0,34287.47128024333
794,Run_795,20.0,900.0,660.0,1e-08,100.0,34598.886166788914
795,Run_796,20.0,900.0,660.0,1e-07,100.0,35223.05456192169
796,Run_797,20.0,900.0,660.0,1e-06,100.0,35554.58147809066
797,Run_798,20.0,900.0,660.0,1e-05,100.0,35920.07384073119
798,Run_799,20.0,900.0,660.0,0.0001,100.0,36238.90208369691
799,Run_800,20.0,900.0,660.0,0.0032,100.0,36842.4706263763
866,Run_867,20.0,1000.0,550.0,1e-08,100.0,28766.038799120346
867,Run_868,20.0,1000.0,550.0,1e-07,100.0,29021.329896263607
868,Run_869,20.0,1000.0,550.0,1e-06,100.0,29285.73485908784
869,Run_870,20.0,1000.0,550.0,1e-05,100.0,29814.846542745752
870,Run_871,20.0,1000.0,550.0,0.0001,100.0,30086.48115437838
871,Run_872,20.0,1000.0,550.0,0.0032,100.0,30645.095833245843
872,Run_873,20.0,1000.0,660.0,1e-10,100.0,33954.66525473159
873,Run_874,20.0,1000.0,660.0,1e-09,100.0,34270.74885292159
874,Run_875,20.0,1000.0,660.0,1e-08,100.0,34890.6298134566
875,Run_876,20.0,1000.0,660.0,1e-07,100.0,35194.82905924093
876,Run_877,20.0,1000.0,660.0,1e-06,100.0,35512.41351626202
877,Run_878,20.0,1000.0,660.0,1e-05,100.0,35813.75975811987
878,Run_879,20.0,1000.0,660.0,0.0001,100.0,36181.52268159429
879,Run_880,20.0,1000.0,660.0,0.0032,100.0,36827.24351398624
1184,Run_1185,30.0,200.0,550.0,1e-10,100.0,30778.510247656057
1185,Run_1186,30.0,200.0,550.0,1e-09,100.0,30853.152189448127
1186,Run_1187,30.0,200.0,550.0,1e-08,100.0,31111.748377967215
1187,Run_1188,30.0,200.0,550.0,1e-07,100.0,31259.241270088878
1188,Run_1189,30.0,200.0,550.0,1e-06,100.0,31422.724719141886
1189,Run_1190,30.0,200.0,550.0,1e-05,100.0,31728.7408523294
1190,Run_1191,30.0,200.0,550.0,0.0001,100.0,31831.01204457815
1191,Run_1192,30.0,200.0,550.0,0.0032,100.0,31900.3123507447
1192,Run_1193,30.0,200.0,660.0,1e-10,100.0,36976.92794573413
1193,Run_1194,30.0,200.0,660.0,1e-09,100.0,37175.89358754346
1194,Run_1195,30.0,200.0,660.0,1e-08,100.0,37461.464903714885
1195,Run_1196,30.0,200.0,660.0,1e-07,100.0,37808.36836443792
1196,Run_1197,30.0,200.0,660.0,1e-06,100.0,38002.63175976367
1197,Run_1198,30.0,200.0,660.0,1e-05,100.0,38149.36553773592
1198,Run_1199,30.0,200.0,660.0,0.0001,100.0,38308.813481225276
1199,Run_1200,30.0,200.0,660.0,0.0032,100.0,38473.67635391588
1264,Run_1265,30.0,300.0,550.0,1e-10,100.0,30896.247487713084
1265,Run_1266,30.0,300.0,550.0,1e-09,100.0,30954.9122300195
1266,Run_1267,30.0,300.0,550.0,1e-08,100.0,31255.57967756607
1267,Run_1268,30.0,300.0,550.0,1e-07,100.0,31573.231597419235
1268,Run_1269,30.0,300.0,550.0,1e-06,100.0,31789.541157333337
1269,Run_1270,30.0,300.0,550.0,1e-05,100.0,31813.326573918675
