Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
Run_1,20.0,32.0,32.0,1e-10,-4.312296027088927e-06,-2.2621881872696057e-10
Run_2,20.0,32.0,32.0,1e-09,-4.3122959121855984e-05,-2.2621881269924467e-09
Run_3,20.0,32.0,32.0,1e-08,-0.0004312295337668962,-2.262187825606656e-08
Run_4,20.0,32.0,32.0,1e-07,-0.004312289822309243,-2.262184932303059e-07
Run_5,20.0,32.0,32.0,1e-06,-0.043122324855488295,-2.262154854001085e-06
Run_6,20.0,32.0,32.0,1e-05,-0.43114418357524387,-2.2617400868750748e-05
Run_7,20.0,32.0,32.0,0.0001,-3.3330282821178376,-0.00017484739359909884
Run_8,20.0,32.0,32.0,0.0032,-3.346042347891621,-0.000175530098721309
Run_9,20.0,32.0,80.0,1e-10,53.969941245128986,0.031801275005915265
Run_10,20.0,32.0,80.0,1e-09,53.96988149539869,0.03208482495858814
Run_11,20.0,32.0,80.0,1e-08,53.96983093793458,0.032373482997667014
Run_12,20.0,32.0,80.0,1e-07,53.96807981122379,0.032740669383724705
Run_13,20.0,32.0,80.0,1e-06,53.97031353191002,0.032967024677468225
Run_14,20.0,32.0,80.0,1e-05,53.98459831358237,0.032875343086183915
Run_15,20.0,32.0,80.0,0.0001,54.10880881058864,0.028980135710053912
Run_16,20.0,32.0,80.0,0.0032,54.00226584921574,0.08739150303043147
Run_17,20.0,32.0,160.0,1e-10,76.9269090789399,0.13256546833574762
Run_18,20.0,32.0,160.0,1e-09,76.92762607570339,0.1329832119086668
Run_19,20.0,32.0,160.0,1e-08,76.92777085389599,0.13357081692058898
Run_20,20.0,32.0,160.0,1e-07,76.92694814607125,0.134446838584098
Run_21,20.0,32.0,160.0,1e-06,76.9277157002988,0.13487676107796592
Run_22,20.0,32.0,160.0,1e-05,76.92786277655799,0.13563861865155502
Run_23,20.0,32.0,160.0,0.0001,76.9446754314349,0.1323510453800382
Run_24,20.0,32.0,160.0,0.0032,76.71303262130105,0.2489970565419774
Run_25,20.0,32.0,250.0,1e-10,85.654107092839,0.29519613721050003
Run_26,20.0,32.0,250.0,1e-09,85.65465715804832,0.29595321546386083
Run_27,20.0,32.0,250.0,1e-08,85.65413062504047,0.2975841940401846
Run_28,20.0,32.0,250.0,1e-07,85.65477040676787,0.29813871043861284
Run_29,20.0,32.0,250.0,1e-06,85.6540497330979,0.2998822718042161
Run_30,20.0,32.0,250.0,1e-05,85.65623675707185,0.2986798400652761
Run_31,20.0,32.0,250.0,0.0001,85.65393942590353,0.29904012541374564
