Unnamed: 0,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
392,Run_393,20.0,300.0,660.0,1e-10,100.0,33411.14665752905
472,Run_473,20.0,400.0,660.0,1e-10,100.0,33864.96795230955
552,Run_553,20.0,500.0,660.0,1e-10,100.0,33704.69849896942
632,Run_633,20.0,600.0,660.0,1e-10,100.0,33836.621290843344
712,Run_713,20.0,800.0,660.0,1e-10,100.0,34110.50336878031
792,Run_793,20.0,900.0,660.0,1e-10,100.0,34052.79842552633
872,Run_873,20.0,1000.0,660.0,1e-10,100.0,33954.66525473159
1184,Run_1185,30.0,200.0,550.0,1e-10,100.0,30778.510247656057
1192,Run_1193,30.0,200.0,660.0,1e-10,100.0,36976.92794573413
1264,Run_1265,30.0,300.0,550.0,1e-10,100.0,30896.247487713084
1272,Run_1273,30.0,300.0,660.0,1e-10,100.0,37266.67133127452
1344,Run_1345,30.0,400.0,550.0,1e-10,100.0,30748.701068375736
1352,Run_1353,30.0,400.0,660.0,1e-10,100.0,37171.58921896636
1424,Run_1425,30.0,500.0,550.0,1e-10,100.0,30657.743711015053
1432,Run_1433,30.0,500.0,660.0,1e-10,100.0,37021.95561154578
1504,Run_1505,30.0,600.0,550.0,1e-10,100.0,30638.99187442942
1512,Run_1513,30.0,600.0,660.0,1e-10,100.0,37226.63401562978
1584,Run_1585,30.0,800.0,550.0,1e-10,100.0,30473.938065620805
1592,Run_1593,30.0,800.0,660.0,1e-10,100.0,36990.281114501275
1664,Run_1665,30.0,900.0,550.0,1e-10,100.0,30532.542441362515
1672,Run_1673,30.0,900.0,660.0,1e-10,100.0,36850.326217380774
1744,Run_1745,30.0,1000.0,550.0,1e-10,100.0,30532.46577947534
1752,Run_1753,30.0,1000.0,660.0,1e-10,100.0,37101.97833903537
1832,Run_1833,40.0,32.0,660.0,1e-10,96.48907843675065,35772.37047902585
1912,Run_1913,40.0,50.0,660.0,1e-10,98.08885587736168,36823.111002265425
1984,Run_1985,40.0,100.0,550.0,1e-10,100.0,28952.156065225387
1992,Run_1993,40.0,100.0,660.0,1e-10,100.0,37828.910713043835
2064,Run_2065,40.0,200.0,550.0,1e-10,100.0,31852.348206454026
2072,Run_2073,40.0,200.0,660.0,1e-10,100.0,38500.88137813192
2144,Run_2145,40.0,300.0,550.0,1e-10,100.0,31916.51108112452
2152,Run_2153,40.0,300.0,660.0,1e-10,100.0,38505.18261617912
2224,Run_2225,40.0,400.0,550.0,1e-10,100.0,31972.22966593104
2232,Run_2233,40.0,400.0,660.0,1e-10,100.0,38498.798085360264
2304,Run_2305,40.0,500.0,550.0,1e-10,100.0,31982.560641184904
2312,Run_2313,40.0,500.0,660.0,1e-10,100.0,38538.234769414914
2384,Run_2385,40.0,600.0,550.0,1e-10,100.0,31983.88549586832
2392,Run_2393,40.0,600.0,660.0,1e-10,100.0,38531.17788193961
2464,Run_2465,40.0,800.0,550.0,1e-10,100.0,31974.300013128235
2472,Run_2473,40.0,800.0,660.0,1e-10,100.0,38526.367656851275
2544,Run_2545,40.0,900.0,550.0,1e-10,100.0,31965.99972049008
2552,Run_2553,40.0,900.0,660.0,1e-10,100.0,38556.93774062673
2624,Run_2625,40.0,1000.0,550.0,1e-10,100.0,31955.957943561836
2632,Run_2633,40.0,1000.0,660.0,1e-10,100.0,38583.05237425196
2944,Run_2945,50.0,200.0,550.0,1e-10,100.0,31824.543230592793
2952,Run_2953,50.0,200.0,660.0,1e-10,95.1035365092672,35827.444683418755
3024,Run_3025,50.0,300.0,550.0,1e-10,100.0,32268.594655121942
3032,Run_3033,50.0,300.0,660.0,1e-10,100.0,38626.28049600634
3104,Run_3105,50.0,400.0,550.0,1e-10,100.0,32280.953116130506
3112,Run_3113,50.0,400.0,660.0,1e-10,100.0,38697.83150253402
3184,Run_3185,50.0,500.0,550.0,1e-10,100.0,32290.63691554438
3192,Run_3193,50.0,500.0,660.0,1e-10,100.0,38730.92751813054
3264,Run_3265,50.0,600.0,550.0,1e-10,100.0,32292.79019842428
3272,Run_3273,50.0,600.0,660.0,1e-10,100.0,38746.479403243095
3344,Run_3345,50.0,800.0,550.0,1e-10,100.0,32303.796104249
3352,Run_3353,50.0,800.0,660.0,1e-10,100.0,38758.58677638895
3424,Run_3425,50.0,900.0,550.0,1e-10,100.0,32304.594167420168
3432,Run_3433,50.0,900.0,660.0,1e-10,100.0,38759.32702597064
3504,Run_3505,50.0,1000.0,550.0,1e-10,100.0,32306.879205008387
3512,Run_3513,50.0,1000.0,660.0,1e-10,100.0,38763.556072994834
3904,Run_3905,60.0,300.0,550.0,1e-10,96.0320054235209,30343.6350015068
3984,Run_3985,60.0,400.0,550.0,1e-10,100.0,32154.418321223773
3992,Run_3993,60.0,400.0,660.0,1e-10,97.11446451818746,36695.6968310132
