Time(hrs),SiO2(aq),Mg++,Gluconic acid(aq),CO2(aq),Na+,pH
1e-10,0.0105000004987281,0.0320000015199282,0.0970000046072528,1.30734489778802e-05,1.00000005067345e-33,2.1500179680091
2e-10,0.010500000498733,0.032000001519938,0.0970000046072534,1.30734489778803e-05,1.00000005067344e-33,2.15001797213265
3e-10,0.0105000004987379,0.0320000015199479,0.0970000046072528,1.30734489778803e-05,1.00000005067344e-33,2.15001797215397
4e-10,0.0105000004987379,0.0320000015199478,0.0970000046074119,1.30734489778804e-05,1.00000005067344e-33,2.1500179721548
5e-10,0.0105000004987429,0.0320000015199576,0.0970000046072536,1.30734489778804e-05,1.00000005067344e-33,2.15001797215554
7e-10,0.0105000004987478,0.0320000015199675,0.0970000046072529,1.30734489778805e-05,1.00000005067344e-33,2.15001797215701
1.1e-09,0.0105000004987576,0.0320000015199871,0.097000004607253,1.30734489778806e-05,1.00000005067344e-33,2.15001797215994
1.9e-09,0.0105000004987772,0.0320000015200263,0.0970000046072532,1.30734489778809e-05,1.00000005067344e-33,2.15001797216582
3.5e-09,0.0105000004988164,0.0320000015201047,0.0970000046072536,1.30734489778814e-05,1.00000005067344e-33,2.15001797217756
6.7e-09,0.0105000004988948,0.0320000015202615,0.0970000046072545,1.30734489778825e-05,1.00000005067344e-33,2.15001797220105
1.31e-08,0.0105000004990516,0.0320000015205752,0.0970000046072562,1.30734489778846e-05,1.00000005067344e-33,2.15001797224802
2.59e-08,0.0105000004993653,0.0320000015212026,0.0970000046072598,1.30734489778888e-05,1.00000005067344e-33,2.15001797234198
5.15e-08,0.0105000004999927,0.0320000015224573,0.0970000046072667,1.30734489778972e-05,1.00000005067344e-33,2.15001797252989
1.027e-07,0.0105000005037569,0.0320000015299858,0.0970000046072527,1.30734489779476e-05,1.00000005067344e-33,2.1500179729057
2.051e-07,0.0105000005087758,0.0320000015400237,0.0970000046072527,1.30734489780149e-05,1.00000005067344e-33,2.15001797365733
4.099e-07,0.0105000005188137,0.0320000015600996,0.0970000046072527,1.30734489781495e-05,1.00000005067344e-33,2.15001797516058
8.195e-07,0.0105000005388894,0.0320000016002513,0.0970000046072527,1.30734489784186e-05,1.00000005067344e-33,2.1500179781671
1.6387e-06,0.0105000005790409,0.0320000016805548,0.0970000046072527,1.30734489789569e-05,1.00000005067344e-33,2.15001798418012
3.2771e-06,0.0105000006593438,0.0320000018411617,0.0970000046072527,1.30734489800334e-05,1.00000005067344e-33,2.15001799620617
6.5539e-06,0.0105000008199497,0.0320000021623756,0.0970000046072527,1.30734489821865e-05,1.00000005067344e-33,2.15001802025828
1.31075e-05,0.0105000011411614,0.0320000028048034,0.0970000046072527,1.30734489864926e-05,1.00000005067345e-33,2.15001806836248
2.62147e-05,0.0105000017835848,0.0320000040896587,0.0970000046072527,1.30734489951047e-05,1.00000005067345e-33,2.15001816457088
5.24291e-05,0.0105000030684314,0.0320000066593692,0.097000004607253,1.30734490123291e-05,1.00000005067345e-33,2.15001835698768
0.000104858,0.0105000056381241,0.0320000117987888,0.0970000046072539,1.30734490467775e-05,1.00000005067344e-33,2.15001874182122
0.000209716,0.0105000107775071,0.032000022077623,0.0970000046072577,1.30734491156738e-05,1.00000005067345e-33,2.1500195114881
0.000419431,0.0105000210562634,0.0320000426352709,0.0970000046072728,1.30734492534636e-05,1.00000005067345e-33,2.15002105082104
0.000838861,0.0105000416137379,0.032000083750485,0.0970000046073333,1.30734495290327e-05,1.00000005067345e-33,2.15002412948369
0.00167772,0.0105000827285337,0.0320001659805862,0.0970000046075751,1.30734500801287e-05,1.00000005067344e-33,2.15003028679604
0.00267772,0.0105001317406044,0.0320002640053612,0.0970000046077092,1.30734507369854e-05,1.00000005067345e-33,2.15003762711286
0.00367772,0.0105001807521037,0.0320003620290166,0.0970000046077083,1.30734513937218e-05,1.00000005067345e-33,2.1500449675369
0.00467772,0.0105002297631804,0.0320004600518266,0.0970000046077084,1.30734520503381e-05,1.00000005067345e-33,2.15005230795369
0.00567772,0.0105002787738342,0.0320005580737906,0.0970000046077083,1.30734527068342e-05,1.00000005067345e-33,2.15005964836265
0.00667772,0.0105003277840649,0.0320006560949085,0.0970000046077084,1.30734533632101e-05,1.00000005067345e-33,2.15006698876377
0.00767772,0.0105003767938727,0.0320007541151803,0.0970000046077084,1.30734540194659e-05,1.00000005067345e-33,2.15007432915706
0.00867772,0.0105004258032575,0.0320008521346061,0.0970000046077084,1.30734546756016e-05,1.0000000506734599e-33,2.15008166954251
0.00967772,0.0105004748122194,0.0320009501531859,0.0970000046077084,1.30734553316173e-05,1.0000000506734599e-33,2.15008900992012
0.0106777,0.0105005238207584,0.0320010481709197,0.0970000046077084,1.30734559875128e-05,1.0000000506734599e-33,2.15009635028989
0.0116777,0.0105005728288743,0.0320011461878074,0.0970000046077084,1.30734566432884e-05,1.0000000506734599e-33,2.15010369065183
0.0126777,0.0105006218365674,0.0320012442038492,0.0970000046077084,1.30734572989439e-05,1.0000000506734599e-33,2.15011103100591
0.0136777,0.0105006708438375,0.0320013422190449,0.0970000046077084,1.30734579544795e-05,1.0000000506734599e-33,2.15011837135216
0.0146777,0.0105007198506846,0.0320014402333946,0.0970000046077084,1.30734586098951e-05,1.00000005067347e-33,2.15012571169055
0.0156777,0.0105007688571089,0.0320015382468984,0.0970000046077084,1.30734592651907e-05,1.00000005067347e-33,2.1501330520211
0.0166777,0.0105008178631102,0.0320016362595562,0.0970000046077084,1.30734599203665e-05,1.00000005067347e-33,2.1501403923438
0.0176777,0.0105008668686886,0.032001734271368,0.0970000046077085,1.30734605754223e-05,1.00000005067347e-33,2.15014773265865
0.0186777,0.010500915873844,0.0320018322823339,0.0970000046077085,1.30734612303582e-05,1.00000005067347e-33,2.15015507296565
0.0196777,0.0105009648785766,0.0320019302924539,0.0970000046077085,1.30734618851743e-05,1.00000005067347e-33,2.1501624132648
0.0206777,0.0105010138828862,0.0320020283017278,0.0970000046077085,1.30734625398706e-05,1.0000000506734799e-33,2.15016975355609
0.0216777,0.010501062886773,0.0320021263101559,0.0970000046077085,1.3073463194447e-05,1.0000000506734799e-33,2.15017709383952
0.0226777,0.0105011118902368,0.0320022243177381,0.0970000046077085,1.30734638489037e-05,1.0000000506734799e-33,2.1501844341151
0.0236777,0.0105011608932778,0.0320023223244743,0.0970000046077085,1.30734645032405e-05,1.0000000506734799e-33,2.15019177438281
0.0246777,0.0105012098958958,0.0320024203303647,0.0970000046077085,1.30734651574577e-05,1.0000000506734799e-33,2.15019911464267
0.0256777,0.010501258898091,0.0320025183354091,0.0970000046077085,1.30734658115551e-05,1.0000000506734799e-33,2.15020645489466
0.0266777,0.0105013078998633,0.0320026163396077,0.0970000046077085,1.30734664655328e-05,1.00000005067349e-33,2.15021379513879
0.0276777,0.0105013569012127,0.0320027143429604,0.0970000046077085,1.30734671193908e-05,1.00000005067349e-33,2.15022113537506
0.0286777,0.0105014059021393,0.0320028123454672,0.0970000046077085,1.30734677731292e-05,1.00000005067349e-33,2.15022847560345
0.0296777,0.0105014549026429,0.0320029103471282,0.0970000046077085,1.30734684267479e-05,1.00000005067349e-33,2.15023581582398
0.0306777,0.0105015039027237,0.0320030083479433,0.0970000046077085,1.3073469080247e-05,1.00000005067349e-33,2.15024315603664
0.0316777,0.0105015529023817,0.0320031063479126,0.0970000046077085,1.30734697336266e-05,1.00000005067349e-33,2.15025049624143
0.0326777,0.0105016019016168,0.032003204347036,0.0970000046077085,1.30734703868865e-05,1.0000000506734999e-33,2.15025783643834
0.0336777,0.010501650900429,0.0320033023453136,0.0970000046077085,1.30734710400269e-05,1.0000000506734999e-33,2.15026517662738
0.0346777,0.0105016998988184,0.0320034003427454,0.0970000046077086,1.30734716930478e-05,1.0000000506734999e-33,2.15027251680854
0.0356777,0.0105017488967849,0.0320034983393314,0.0970000046077085,1.30734723459492e-05,1.0000000506734999e-33,2.15027985698183
0.0366777,0.0105017978943286,0.0320035963350716,0.0970000046077086,1.30734729987311e-05,1.0000000506734999e-33,2.15028719714724
0.0376777,0.0105018468914495,0.032003694329966,0.0970000046077085,1.30734736513935e-05,1.0000000506734999e-33,2.15029453730476
0.0386777,0.0105018958881476,0.0320037923240147,0.0970000046077086,1.30734743039365e-05,1.00000005067351e-33,2.15030187745441
0.0396777,0.0105019448844228,0.0320038903172175,0.0970000046077086,1.30734749563601e-05,1.00000005067351e-33,2.15030921759617
0.0406777,0.0105019938802752,0.0320039883095746,0.0970000046077086,1.30734756086642e-05,1.00000005067351e-33,2.15031655773005
0.0416777,0.0105020428757048,0.032004086301086,0.0970000046077086,1.3073476260849e-05,1.00000005067351e-33,2.15032389785604
0.0426777,0.0105020918707115,0.0320041842917516,0.0970000046077086,1.30734769129145e-05,1.00000005067351e-33,2.15033123797414
0.0436777,0.0105021408652955,0.0320042822815714,0.0970000046077086,1.30734775648606e-05,1.00000005067351e-33,2.15033857808435
0.0446777,0.0105021898594566,0.0320043802705456,0.0970000046077086,1.30734782166874e-05,1.00000005067352e-33,2.15034591818667
